Wavenumbers [1/cm];Absorbance;
4400,000;0,2680367;
4398,000;0,2679263;
4396,000;0,2676271;
4394,000;0,2674425;
4392,000;0,2671856;
4390,000;0,2669592;
4388,000;0,2666941;
4386,000;0,2665774;
4384,000;0,2663043;
4382,000;0,2662301;
4380,000;0,2659457;
4378,000;0,2657844;
4376,000;0,2655177;
4374,000;0,2653651;
4372,000;0,2651887;
4370,000;0,2650115;
4368,000;0,2647898;
4366,000;0,2647229;
4364,000;0,2644757;
4362,000;0,2642989;
4360,000;0,2640674;
4358,000;0,2639211;
4356,000;0,2638729;
4354,000;0,2638133;
4352,000;0,2639022;
4350,000;0,2640007;
4348,000;0,2642264;
4346,000;0,2644542;
4344,000;0,2648269;
4342,000;0,2651572;
4340,000;0,2655126;
4338,000;0,2656142;
4336,000;0,2658941;
4334,000;0,2661409;
4332,000;0,2667142;
4330,000;0,2676519;
4328,000;0,2694596;
4326,000;0,2719809;
4324,000;0,2751499;
4322,000;0,2771466;
4320,000;0,2765768;
4318,000;0,2735662;
4316,000;0,2697711;
4314,000;0,2662823;
4312,000;0,2635709;
4310,000;0,261538;
4308,000;0,26004;
4306,000;0,2588751;
4304,000;0,2579491;
4302,000;0,2573037;
4300,000;0,2567396;
4298,000;0,2562737;
4296,000;0,2558376;
4294,000;0,2554899;
4292,000;0,2551475;
4290,000;0,2549535;
4288,000;0,2547992;
4286,000;0,2546058;
4284,000;0,2543029;
4282,000;0,2541358;
4280,000;0,2538319;
4278,000;0,2537094;
4276,000;0,2533972;
4274,000;0,2532458;
4272,000;0,2530115;
4270,000;0,2528203;
4268,000;0,2525821;
4266,000;0,2525146;
4264,000;0,2526183;
4262,000;0,2529039;
4260,000;0,2533275;
4258,000;0,2541147;
4256,000;0,255222;
4254,000;0,2565428;
4252,000;0,2577642;
4250,000;0,2582046;
4248,000;0,2573034;
4246,000;0,2555397;
4244,000;0,253716;
4242,000;0,2521778;
4240,000;0,250975;
4238,000;0,2501581;
4236,000;0,2495745;
4234,000;0,2490625;
4232,000;0,2488495;
4230,000;0,2486634;
4228,000;0,2486838;
4226,000;0,2486514;
4224,000;0,2487807;
4222,000;0,248835;
4220,000;0,248768;
4218,000;0,2484772;
4216,000;0,2480121;
4214,000;0,2474213;
4212,000;0,2468896;
4210,000;0,2464836;
4208,000;0,2462152;
4206,000;0,2458845;
4204,000;0,2457814;
4202,000;0,2457876;
4200,000;0,2459549;
4198,000;0,2461829;
4196,000;0,2463431;
4194,000;0,2463348;
4192,000;0,2461699;
4190,000;0,2459736;
4188,000;0,2457047;
4186,000;0,2453504;
4184,000;0,244962;
4182,000;0,2446842;
4180,000;0,2443649;
4178,000;0,244029;
4176,000;0,2436711;
4174,000;0,243428;
4172,000;0,2430457;
4170,000;0,24275;
4168,000;0,2423915;
4166,000;0,2421362;
4164,000;0,2418227;
4162,000;0,2415823;
4160,000;0,2412771;
4158,000;0,2410872;
4156,000;0,2407653;
4154,000;0,2405504;
4152,000;0,2402228;
4150,000;0,2400118;
4148,000;0,239797;
4146,000;0,2394551;
4144,000;0,2391089;
4142,000;0,2387877;
4140,000;0,2384448;
4138,000;0,2381223;
4136,000;0,2378545;
4134,000;0,2374859;
4132,000;0,2372;
4130,000;0,2368879;
4128,000;0,2366474;
4126,000;0,2362638;
4124,000;0,2359772;
4122,000;0,2356906;
4120,000;0,2355841;
4118,000;0,2352647;
4116,000;0,2350736;
4114,000;0,2347966;
4112,000;0,2346385;
4110,000;0,2343785;
4108,000;0,2341716;
4106,000;0,2339436;
4104,000;0,2337304;
4102,000;0,2335281;
4100,000;0,2333537;
4098,000;0,2331498;
4096,000;0,2328712;
4094,000;0,2325206;
4092,000;0,2320765;
4090,000;0,2315242;
4088,000;0,2308917;
4086,000;0,2301965;
4084,000;0,229542;
4082,000;0,2289829;
4080,000;0,2284195;
4078,000;0,2279006;
4076,000;0,2274476;
4074,000;0,226994;
4072,000;0,2265559;
4070,000;0,2262408;
4068,000;0,2258205;
4066,000;0,2255375;
4064,000;0,2251189;
4062,000;0,2247974;
4060,000;0,224426;
4058,000;0,2240517;
4056,000;0,2236525;
4054,000;0,223421;
4052,000;0,2230872;
4050,000;0,2228029;
4048,000;0,2225238;
4046,000;0,2222787;
4044,000;0,2219238;
4042,000;0,2215632;
4040,000;0,2212803;
4038,000;0,2210083;
4036,000;0,2206421;
4034,000;0,2203172;
4032,000;0,2201144;
4030,000;0,2198838;
4028,000;0,2196784;
4026,000;0,2195431;
4024,000;0,2193648;
4022,000;0,2190568;
4020,000;0,2187778;
4018,000;0,2183306;
4016,000;0,2178314;
4014,000;0,2172301;
4012,000;0,2167661;
4010,000;0,216302;
4008,000;0,2159029;
4006,000;0,2155049;
4004,000;0,215216;
4002,000;0,2149204;
4000,000;0,2147214;
3998,000;0,2143739;
3996,000;0,2141782;
3994,000;0,2138981;
3992,000;0,2137599;
3990,000;0,2135569;
3988,000;0,2132787;
3986,000;0,2130142;
3984,000;0,2127867;
3982,000;0,2126086;
3980,000;0,2124318;
3978,000;0,2121974;
3976,000;0,2120049;
3974,000;0,2118044;
3972,000;0,2115868;
3970,000;0,2112383;
3968,000;0,2108474;
3966,000;0,2105203;
3964,000;0,2104136;
3962,000;0,2102993;
3960,000;0,2098893;
3958,000;0,2096457;
3956,000;0,2093079;
3954,000;0,2089262;
3952,000;0,2088801;
3950,000;0,2090598;
3948,000;0,2087883;
3946,000;0,2083324;
3944,000;0,2083777;
3942,000;0,2082139;
3940,000;0,20754;
3938,000;0,207252;
3936,000;0,2069304;
3934,000;0,2073416;
3932,000;0,2076693;
3930,000;0,2072469;
3928,000;0,2067171;
3926,000;0,2068093;
3924,000;0,2066506;
3922,000;0,2062732;
3920,000;0,2062691;
3918,000;0,206324;
3916,000;0,2059056;
3914,000;0,2050698;
3912,000;0,2046525;
3910,000;0,2042906;
3908,000;0,2043;
3906,000;0,2050666;
3904,000;0,2059554;
3902,000;0,2057824;
3900,000;0,2056593;
3898,000;0,2042716;
3896,000;0,2030562;
3894,000;0,2029135;
3892,000;0,2034253;
3890,000;0,2026573;
3888,000;0,2022057;
3886,000;0,2030566;
3884,000;0,2020887;
3882,000;0,2023587;
3880,000;0,2023187;
3878,000;0,2007262;
3876,000;0,2008771;
3874,000;0,2011452;
3872,000;0,2012199;
3870,000;0,2018707;
3868,000;0,2004459;
3866,000;0,2003596;
3864,000;0,2002273;
3862,000;0,1992818;
3860,000;0,1983097;
